Date,Time,Soil Moisture (%),Temperature (°C),Humidity (%),Rainfall (mm),Irrigation Amount (liters),Crop Type,Irrigation Status
2025-01-02,002:00,16,32.930722989735095,79,24.86723400906146,24,Tomato,1
2025-01-02,003:00,69,29.310674115424334,46,7.845299644571084,59,Tomato,0
2025-01-02,004:00,54,26.479551427708962,52,12.537901776901517,49,Wheat,0
2025-01-02,005:00,73,25.167897791751468,63,6.35358921563313,21,Tomato,0
2025-01-02,006:00,41,27.068761666473524,48,17.267475115334335,2,Corn,0
2025-01-02,007:00,79,30.501695165467687,85,10.088691955822375,2,Tomato,0
2025-01-02,008:00,82,35.8207828755488,59,13.608392711807904,77,Tomato,0
2025-01-02,009:00,33,16.329020697597873,33,16.279069017203938,11,Corn,0
2025-01-02,010:00,0,15.001462536699414,41,2.0311765919569935,54,paddy,1
2025-01-02,011:00,89,28.806206027715472,79,11.03355542263354,69,paddy,0
2025-01-02,012:00,71,31.858239093823137,85,20.098971630491672,53,Tomato,0
2025-01-02,013:00,55,23.550559936951096,33,19.358237220537603,35,Tomato,0
2025-01-02,014:00,71,34.160692842159165,32,1.7937586357738666,82,paddy,0
2025-01-02,015:00,56,17.82510501174102,59,1.7441201416545193,54,Wheat,0
2025-01-02,016:00,98,35.48238348340971,32,15.804003783902589,97,Wheat,0
2025-01-02,017:00,57,29.452242070737682,84,10.223145515023944,10,Corn,0
2025-01-02,018:00,1,33.378845125991624,27,27.78714416587188,20,Corn,1
2025-01-02,019:00,10,29.60744790922755,42,15.554870425617862,79,Tomato,1
2025-01-02,020:00,89,28.591933839300737,72,14.107224443746563,2,paddy,0
2025-01-02,021:00,27,26.912625158925735,29,9.24070292376152,80,paddy,1
2025-01-02,022:00,30,16.04536140926308,76,24.0194453478458,74,Tomato,0
2025-01-02,023:00,43,17.186796120697966,47,1.796833543601064,78,Wheat,0
2025-01-03,000:00,4,30.60793689412071,44,9.671726092060911,27,Tomato,1
2025-01-03,001:00,76,33.59357488590785,97,5.564573123160564,73,Tomato,0
2025-01-03,002:00,77,31.418744961112797,97,3.206339205198303,39,Corn,0
2025-01-03,003:00,98,34.94368769259743,37,15.009037166012769,96,Corn,0
2025-01-03,004:00,56,34.117908977911725,35,17.727405333832735,11,Tomato,0
2025-01-03,005:00,13,21.48599659647694,58,23.819435099973873,19,Wheat,1
2025-01-03,006:00,76,18.12965238378835,94,29.587660266804438,17,paddy,0
2025-01-03,007:00,39,30.79711838299095,99,12.222524722636091,60,Tomato,0
2025-01-03,008:00,31,34.02832220281296,44,19.020156172077474,78,Tomato,0
2025-01-03,009:00,34,25.641706169490316,28,22.988063370544815,6,paddy,0
2025-01-03,010:00,81,21.41502454526145,87,29.0321805053243,38,Wheat,0
2025-01-03,011:00,49,19.208600155579056,65,20.993879877569135,54,Corn,0
2025-01-03,012:00,39,28.735551217304184,66,21.449872862988386,27,paddy,0
2025-01-03,013:00,24,31.080869341041076,85,14.638754648995233,31,Tomato,1
2025-01-03,014:00,22,30.961242779990364,35,27.19226562225818,11,Wheat,1
2025-01-03,015:00,22,23.42237456919449,73,5.691465129160999,79,Wheat,1
2025-01-03,016:00,88,30.643178527650278,62,22.105900814673998,85,Corn,0
2025-01-03,017:00,71,25.317071984477693,96,20.297390686770086,82,Wheat,0
2025-01-03,018:00,65,27.329681784419883,75,10.428729220376804,56,Wheat,0
2025-01-03,019:00,42,17.74354789480941,86,7.225643945738948,51,paddy,0
2025-01-03,020:00,45,15.147258261529164,42,1.1236362883871254,95,Wheat,0
2025-01-03,021:00,12,20.9928962059178,42,25.61921313071321,9,paddy,1
2025-01-03,022:00,54,27.111073262318833,34,0.9145621408844573,51,Corn,0
2025-01-03,023:00,79,23.623087231947032,77,22.243365536973833,79,Tomato,0
2025-01-04,000:00,43,29.676451775480146,35,13.541322200789644,18,Corn,0
2025-01-04,001:00,26,26.66218250841442,94,19.86542199605778,19,Tomato,1
2025-01-04,002:00,67,25.17045089592061,46,14.134230493955744,37,paddy,0
2025-01-04,003:00,40,31.516632444143667,78,12.459857372863791,18,Wheat,0
2025-01-04,004:00,47,28.126082970492547,31,10.973666825004328,17,Corn,0
2025-01-04,005:00,81,23.138615216945784,60,22.296523538625177,17,Wheat,0
2025-01-04,006:00,79,29.196460583478597,40,29.227288279188997,31,Wheat,0
2025-01-04,007:00,97,31.323647168366872,38,16.289681184091123,24,paddy,0
2025-01-04,008:00,10,18.600691803609745,58,23.666234313121596,36,paddy,1
2025-01-04,009:00,52,22.206338205792544,88,8.701890515627479,70,Wheat,0
2025-01-04,010:00,54,35.94574364824898,87,28.356571662973707,19,Wheat,0
2025-01-04,011:00,10,29.831681776035563,94,28.679197065652826,50,Corn,1
2025-01-04,012:00,51,21.05231145324709,60,17.431801912834313,74,Tomato,0
2025-01-04,013:00,80,20.31558781916491,91,18.214981316533823,82,Corn,0
2025-01-04,014:00,23,19.649248411677306,25,25.88259957812531,4,Wheat,1
2025-01-04,015:00,64,21.076263030710386,27,24.50172605947221,83,paddy,0
2025-01-04,016:00,96,20.883003167410717,31,11.076843678285677,3,Wheat,0
2025-01-04,017:00,96,29.251529874781788,97,18.925759654011443,64,Corn,0
2025-01-04,018:00,10,21.24621861608669,30,5.039526827891683,13,paddy,1
2025-01-04,019:00,54,27.54289984459711,25,22.470035367578213,81,paddy,0
2025-01-04,020:00,91,28.82714847173003,38,28.755428713427047,55,Wheat,0
2025-01-04,021:00,71,28.283969386517228,43,10.76512074545334,81,Tomato,0
2025-01-04,022:00,22,15.316649112635744,29,27.12400370560992,78,Corn,1
2025-01-04,023:00,68,21.12100892140876,70,23.11213215633466,89,Wheat,0
2025-01-05,000:00,19,23.005142025389517,63,11.982022735755288,50,paddy,1
2025-01-05,001:00,53,24.996664811941834,49,27.166720983058443,78,Wheat,0
2025-01-05,002:00,9,15.96666992959855,70,8.236541372124215,14,paddy,1
2025-01-05,003:00,61,30.529499180454646,56,6.229317196178849,41,Corn,0
